Data,Voc_cell1_CT,Isc_cell1_CT,Voc_cell2_2P,Isc_cell2_2P,Voc_cell3_4P,Isc_cell3_4P,Voc_cell4_Fix,Isc_cell4_Fix,Pot_Cell1_CT,Pot_Cell3_4P,Pot_Cell2_2P,Pot_Cell4_Fix
2021-06-09 06:00:00,347.637,480.492,336.532,496.562,335.958,422.499,342.133,568.897,540.691,539.753,459.817,628.449
2021-06-10 06:00:00,343.903,516.359,333.509,593.593,333.370,594.947,339.477,684.202,578.978,642.789,647.527,754.521
2021-06-15 06:00:00,69.109,211.183,66.656,211.919,67.494,176.201,67.426,226.244,239.022,231.333,195.305,250.018
2021-06-16 06:00:00,216.985,567.609,224.705,574.255,218.257,463.329,221.538,555.508,616.300,645.825,507.153,617.509
2021-06-17 06:00:00,301.223,1006.603,311.951,1009.089,304.276,781.208,309.722,723.755,1087.547,1128.650,853.043,806.636
2021-06-18 06:00:00,272.678,997.261,275.288,1013.791,274.186,907.529,280.031,848.049,1058.360,1087.222,970.731,927.877
2021-06-21 06:00:00,253.227,788.345,255.608,786.578,254.716,735.049,259.951,690.738,846.854,853.713,795.809,762.263
2021-06-22 06:00:00,260.838,230.776,262.463,253.065,258.020,222.865,263.256,242.676,249.658,276.100,239.980,265.598
2021-06-23 06:00:00,236.910,903.305,239.274,914.063,238.488,843.696,243.622,774.819,969.016,990.901,912.155,855.811
2021-06-24 06:00:00,236.772,408.260,233.358,389.428,235.945,343.135,236.402,343.209,440.570,413.640,368.084,370.568
2021-06-25 06:00:00,275.867,901.300,270.917,863.718,274.366,841.192,277.647,662.560,966.095,907.866,895.997,713.553
2021-06-28 06:00:00,332.868,582.548,330.244,574.084,333.991,532.407,333.751,578.584,633.153,612.199,577.191,628.858
2021-06-29 06:00:00,340.277,1135.495,342.885,1152.043,338.632,1068.712,344.581,885.771,1231.989,1259.032,1151.133,972.791
2021-06-30 06:00:00,352.120,590.783,354.710,601.251,351.830,545.436,357.474,521.790,642.053,657.292,588.659,573.435
2021-07-01 06:00:00,331.313,793.503,334.264,812.499,331.270,729.615,335.514,717.379,830.335,857.239,760.428,760.744
2021-07-02 06:00:00,347.652,549.559,350.668,560.524,351.412,481.244,358.459,466.242,593.388,609.407,517.348,511.456
2021-07-06 06:00:00,331.324,628.794,334.327,638.168,331.909,578.829,337.169,581.351,665.406,680.615,609.375,623.554
2021-07-07 06:00:00,348.930,1142.575,346.246,1124.698,348.358,1065.037,348.490,767.738,1229.917,1201.095,1142.172,823.063
2021-07-08 06:00:00,323.549,962.189,320.512,935.754,323.252,902.106,323.344,752.574,1040.090,1002.039,972.874,809.430
2021-07-12 06:00:00,320.884,1083.265,318.356,1059.025,320.352,1047.255,320.588,858.843,1156.588,1122.060,1113.865,915.745
2021-07-13 06:00:00,318.857,906.580,322.907,919.649,320.533,829.640,325.891,685.853,962.033,990.122,886.863,745.141
2021-07-14 06:00:00,336.003,911.656,339.048,923.977,336.827,846.599,341.001,728.737,984.850,1009.742,919.778,801.012
2021-07-16 06:00:00,329.533,1053.563,331.803,1052.699,329.471,1016.844,334.387,1007.624,1142.393,1151.988,1105.262,1109.200
2021-07-19 06:00:00,355.910,1034.197,359.337,1096.098,356.998,995.603,361.498,771.842,1116.675,1196.523,1080.291,848.223
2021-07-20 06:00:00,337.433,1176.487,333.358,1154.858,338.572,1025.263,339.560,822.205,1278.655,1239.068,1118.220,901.829
2021-07-21 06:00:00,338.039,1630.151,335.130,1584.612,340.484,1390.386,340.845,1216.224,1714.668,1652.053,1472.726,1299.222
2021-07-22 06:00:00,331.997,1371.028,333.239,1418.509,330.344,1305.965,336.641,1118.023,1476.673,1532.181,1397.390,1222.842
2021-07-23 06:00:00,334.053,1023.834,335.834,1048.469,333.079,912.177,339.115,779.636,1099.426,1129.378,973.974,851.910
2021-07-24 06:00:00,327.045,333.273,323.771,312.669,328.574,306.555,329.693,351.696,362.665,336.739,333.867,383.641
2021-07-26 06:00:00,354.118,972.533,351.174,985.037,354.946,959.768,354.995,748.463,1054.761,1059.433,1039.644,811.023
2021-07-27 06:00:00,320.655,243.082,317.476,233.351,323.286,230.804,325.742,258.773,262.378,249.712,250.394,282.863
2021-07-28 06:00:00,323.331,484.529,323.985,549.412,322.782,498.255,327.259,563.933,526.154,600.314,541.687,620.221
2021-07-29 06:00:00,317.107,1141.385,320.428,1217.012,319.046,1128.903,324.732,936.883,1219.392,1314.958,1214.322,1023.663
2021-07-30 06:00:00,286.413,830.680,315.222,1025.554,319.178,961.465,319.181,883.778,898.271,1102.696,1050.563,965.212
2021-07-31 06:00:00,301.633,923.349,297.613,984.643,302.137,666.790,304.103,790.781,1001.935,1052.800,726.027,866.731
2021-08-02 06:00:00,355.746,1692.952,351.402,1677.304,356.795,1478.239,356.610,1267.964,1827.041,1786.816,1602.157,1375.424
2021-08-03 06:00:00,334.445,859.641,336.904,872.043,334.469,808.453,339.586,771.284,930.820,948.690,871.842,847.766
2021-08-04 06:00:00,353.454,910.361,355.461,934.565,353.014,848.586,357.809,762.929,992.156,1021.627,920.625,842.286
2021-08-05 06:00:00,323.056,973.443,320.132,958.267,322.500,932.769,323.020,733.788,1056.104,1030.681,1008.601,793.430
2021-08-06 06:00:00,335.521,698.571,332.365,698.937,334.400,685.196,335.933,384.650,766.221,759.216,747.366,421.865
2021-08-09 06:00:00,353.271,1526.032,356.399,1612.342,354.010,1527.252,359.380,1453.062,1629.895,1740.689,1638.132,1581.856
2021-08-10 06:00:00,312.141,197.749,311.504,198.424,310.854,164.636,319.949,206.584,212.010,214.464,176.348,226.585
2021-08-11 06:00:00,340.004,176.991,336.981,158.420,338.252,126.823,338.398,146.787,193.820,171.805,138.722,160.346
2021-08-12 06:00:00,340.198,676.396,336.643,736.626,337.339,734.008,340.997,772.362,740.939,796.743,800.301,850.375
2021-08-13 06:00:00,328.090,565.466,331.353,575.465,329.399,523.582,335.674,544.814,613.385,626.492,565.143,607.364
2021-08-14 06:00:00,318.437,367.373,322.702,404.913,319.842,372.644,323.256,385.455,393.736,437.724,399.513,419.080
2021-08-19 06:00:00,342.105,332.090,339.106,309.700,345.057,308.229,346.530,324.279,371.688,342.949,344.822,363.390
2021-08-20 06:00:00,344.597,347.489,341.452,327.493,346.597,326.875,346.889,354.763,385.318,359.735,363.023,394.074
2021-08-21 06:00:00,336.340,1113.613,339.246,1138.304,337.803,1057.640,343.253,934.391,1204.135,1244.776,1151.658,1031.609
2021-08-23 06:00:00,357.262,892.887,359.299,926.230,357.970,838.724,366.874,735.285,973.224,1018.986,919.977,821.317
2021-08-24 06:00:00,323.865,597.029,320.528,560.786,322.654,555.090,323.226,569.252,660.249,611.987,614.040,630.208
2021-08-25 06:00:00,312.310,556.855,309.380,528.593,310.831,523.923,311.849,489.244,616.413,578.346,578.965,542.297
2021-08-26 06:00:00,307.256,320.073,310.572,331.069,309.087,301.073,311.641,348.697,353.135,368.461,333.265,387.898
2021-08-27 06:00:00,320.343,734.736,322.014,754.794,322.259,695.483,322.438,623.187,810.008,834.580,771.396,688.799
2021-08-28 06:00:00,321.743,257.671,317.969,254.058,323.033,244.550,325.875,293.566,286.686,281.266,272.658,332.190
2021-08-30 06:00:00,361.311,270.498,359.718,276.735,363.992,256.680,368.982,268.569,299.542,307.292,286.373,305.317
2021-08-31 06:00:00,301.551,556.366,299.136,551.676,302.914,537.797,307.461,580.832,612.249,606.001,595.989,657.971
2021-06-09 12:00:00,297.622,271.006,286.401,254.975,284.320,218.721,290.327,267.926,303.581,275.379,234.257,293.554
2021-06-10 12:00:00,298.692,626.055,285.472,586.491,286.267,648.519,291.407,660.896,699.813,628.810,701.224,723.380
2021-06-15 12:00:00,304.960,753.472,293.509,744.736,296.416,749.259,297.668,556.112,851.478,810.122,826.770,615.102
2021-06-16 12:00:00,289.786,924.872,299.485,932.358,291.887,808.958,293.809,612.212,998.717,1040.244,881.076,674.588
2021-06-17 12:00:00,275.524,397.311,284.353,391.068,277.006,332.154,279.688,382.926,425.273,432.803,358.845,418.256
2021-06-18 12:00:00,287.512,824.603,289.159,839.254,286.909,763.316,289.325,533.295,885.902,908.423,822.679,583.086
2021-06-21 12:00:00,289.140,593.480,290.990,569.162,288.368,552.773,291.993,427.422,639.629,618.336,598.708,470.097
2021-06-22 12:00:00,283.832,431.794,284.530,424.356,280.350,390.942,286.023,427.778,462.746,457.093,416.659,464.047
2021-06-23 12:00:00,283.832,431.794,284.530,424.356,280.350,390.942,286.023,427.778,462.746,457.093,416.659,464.047
2021-06-24 12:00:00,295.470,773.897,290.904,740.024,293.795,554.771,294.523,492.197,846.134,793.258,602.363,538.162
2021-06-25 12:00:00,286.876,495.791,284.802,471.433,286.450,452.691,284.882,363.906,539.506,503.535,487.982,397.272
2021-06-28 12:00:00,288.286,650.781,284.607,619.330,287.401,582.238,286.437,431.840,707.409,660.798,629.084,469.514
2021-06-29 12:00:00,285.653,697.952,287.315,706.178,285.970,635.625,289.415,551.993,749.429,762.380,677.604,596.405
2021-06-30 12:00:00,285.969,221.515,287.734,223.658,286.884,195.455,291.207,190.609,238.733,242.340,210.082,207.134
2021-07-01 12:00:00,270.954,380.121,273.286,375.384,273.207,360.010,278.001,332.875,395.741,393.358,372.434,351.353
2021-07-02 12:00:00,284.219,710.003,286.080,721.738,284.285,559.027,287.168,410.959,760.991,778.190,595.729,444.249
2021-07-06 12:00:00,285.377,992.496,286.782,1002.423,282.850,909.220,287.623,640.064,1050.397,1065.939,952.412,684.557
2021-07-07 12:00:00,285.848,703.670,283.203,708.081,284.796,697.885,284.301,461.284,754.365,752.354,741.930,493.081
2021-07-08 12:00:00,285.397,727.368,282.504,715.575,284.366,677.788,283.796,502.711,775.665,756.158,719.030,532.395
2021-07-12 12:00:00,282.351,543.530,279.477,532.369,282.884,517.876,282.652,482.483,575.619,558.979,547.231,509.147
2021-07-13 12:00:00,57.870,188.396,58.685,179.835,58.214,144.456,59.029,182.551,199.286,193.236,154.042,197.022
2021-07-14 12:00:00,45.679,201.429,46.379,198.117,46.189,163.869,46.671,169.300,214.985,214.740,176.889,184.452
2021-07-16 12:00:00,287.030,1168.702,289.289,1178.504,286.782,1127.997,289.835,981.732,1239.886,1262.563,1198.326,1057.206
2021-07-19 12:00:00,289.473,719.498,291.132,685.993,288.755,677.241,292.128,502.668,780.281,751.173,736.991,552.481
2021-07-20 12:00:00,289.251,862.459,285.958,830.376,288.619,779.958,287.943,663.249,935.868,889.826,845.732,720.850
2021-07-21 12:00:00,288.774,783.600,285.284,750.640,287.605,686.690,286.547,540.545,840.098,794.397,735.100,578.187
2021-07-22 12:00:00,284.848,913.292,287.782,921.476,285.470,866.459,288.154,894.172,970.073,986.787,918.441,959.439
2021-07-23 12:00:00,290.964,661.562,292.441,669.466,289.466,585.868,292.857,539.972,715.387,726.897,628.883,589.404
2021-07-24 12:00:00,291.776,340.671,288.824,328.770,292.239,317.469,295.635,291.730,369.229,352.034,342.924,318.899
2021-07-26 12:00:00,290.722,986.501,287.525,972.945,289.820,905.781,291.459,702.157,1069.127,1043.175,976.247,759.733
2021-07-27 12:00:00,291.346,478.473,287.702,453.832,291.159,442.733,292.023,440.373,519.384,486.283,478.764,480.184
2021-07-28 12:00:00,292.372,738.701,295.008,857.173,292.736,801.105,295.732,616.113,796.214,932.810,865.294,676.099
