Data,ghi,dni,dhi,Radiation_AMVA
2021-06-01 06:00:00,3.779,4.203,0.782,2.776
2021-06-02 06:00:00,3.772,4.195,0.782,0.0
2021-06-03 06:00:00,3.765,4.187,0.782,3.491
2021-06-04 06:00:00,3.758,4.18,0.782,2.659
2021-06-05 06:00:00,3.751,4.172,0.783,1.745
2021-06-06 06:00:00,3.744,4.165,0.783,2.12
2021-06-07 06:00:00,3.737,4.157,0.783,1.575
2021-06-08 06:00:00,3.73,4.149,0.783,1.715
2021-06-09 06:00:00,3.724,4.142,0.783,0.863
2021-06-10 06:00:00,3.717,4.134,0.784,1.43
2021-06-11 06:00:00,3.71,4.126,0.784,2.879
2021-06-12 06:00:00,3.704,4.119,0.784,0.0
2021-06-13 06:00:00,3.698,4.111,0.784,1.761
2021-06-14 06:00:00,3.692,4.103,0.785,1.84
2021-06-15 06:00:00,3.686,4.096,0.785,2.14
2021-06-16 06:00:00,3.681,4.094,0.783,1.619
2021-06-17 06:00:00,3.677,4.091,0.782,3.036
2021-06-18 06:00:00,3.672,4.089,0.781,2.735
2021-06-19 06:00:00,3.668,4.087,0.779,3.343
2021-06-20 06:00:00,3.664,4.085,0.778,2.428
2021-06-21 06:00:00,3.661,4.083,0.777,2.748
2021-06-22 06:00:00,3.657,4.081,0.775,1.211
2021-06-23 06:00:00,3.654,4.08,0.774,3.067
2021-06-24 06:00:00,3.65,4.078,0.773,1.847
2021-06-25 06:00:00,3.647,4.076,0.771,3.523
2021-06-26 06:00:00,3.645,4.075,0.77,2.503
2021-06-27 06:00:00,3.642,4.073,0.769,2.03
2021-06-28 06:00:00,3.64,4.072,0.768,2.303
2021-06-29 06:00:00,3.638,4.071,0.767,2.859
2021-06-30 06:00:00,3.636,4.07,0.766,2.259
2021-07-01 06:00:00,3.634,4.069,0.765,2.19
2021-07-02 06:00:00,3.632,4.068,0.764,2.7
2021-07-03 06:00:00,3.631,4.067,0.763,2.199
2021-07-04 06:00:00,3.63,4.066,0.762,3.18
2021-07-05 06:00:00,3.629,4.066,0.761,3.173
2021-07-06 06:00:00,3.629,4.066,0.76,2.475
2021-07-07 06:00:00,3.628,4.065,0.759,3.567
2021-07-08 06:00:00,3.628,4.065,0.758,3.315
2021-07-09 06:00:00,3.628,4.065,0.757,1.758
2021-07-10 06:00:00,3.629,4.066,0.757,1.987
2021-07-11 06:00:00,3.629,4.066,0.756,2.36
2021-07-12 06:00:00,3.63,4.067,0.755,2.573
2021-07-13 06:00:00,3.631,4.067,0.755,3.321
2021-07-14 06:00:00,3.633,4.068,0.754,3.121
2021-07-15 06:00:00,3.634,4.069,0.753,3.446
2021-07-16 06:00:00,3.636,4.071,0.753,2.762
2021-07-17 06:00:00,3.639,4.073,0.752,3.479
2021-07-18 06:00:00,3.641,4.075,0.751,3.343
2021-07-19 06:00:00,3.644,4.078,0.751,3.155
2021-07-20 06:00:00,3.647,4.081,0.75,3.505
2021-07-21 06:00:00,3.65,4.084,0.749,3.399
2021-07-22 06:00:00,3.654,4.087,0.749,2.342
2021-07-23 06:00:00,3.657,4.09,0.748,3.299
2021-07-24 06:00:00,3.661,4.093,0.748,1.13
2021-07-25 06:00:00,3.666,4.097,0.747,1.359
2021-07-26 06:00:00,3.67,4.101,0.747,3.22
2021-07-27 06:00:00,3.675,4.105,0.747,0.596
2021-07-28 06:00:00,3.679,4.109,0.746,1.914
2021-07-29 06:00:00,3.685,4.113,0.746,3.274
2021-07-30 06:00:00,3.69,4.117,0.746,2.46
2021-07-31 06:00:00,3.695,4.122,0.745,3.074
2021-08-01 06:00:00,3.701,4.127,0.745,2.961
2021-08-02 06:00:00,3.707,4.131,0.745,3.057
2021-08-03 06:00:00,3.713,4.137,0.745,2.903
2021-08-04 06:00:00,3.719,4.142,0.745,2.418
2021-08-05 06:00:00,3.725,4.147,0.744,3.534
2021-08-06 06:00:00,3.731,4.153,0.744,3.29
2021-08-07 06:00:00,3.738,4.158,0.744,2.291
2021-08-08 06:00:00,3.745,4.164,0.744,2.57
2021-08-09 06:00:00,3.752,4.17,0.744,3.282
2021-08-10 06:00:00,3.759,4.176,0.744,1.292
2021-08-11 06:00:00,3.766,4.182,0.744,1.679
2021-08-12 06:00:00,3.773,4.189,0.744,1.799
2021-08-13 06:00:00,3.78,4.195,0.744,2.66
2021-08-14 06:00:00,3.788,4.202,0.744,0.884
2021-08-15 06:00:00,3.795,4.208,0.745,3.36
2021-08-16 06:00:00,3.802,4.212,0.746,2.716
2021-08-17 06:00:00,3.809,4.213,0.748,2.6
2021-08-18 06:00:00,3.815,4.214,0.75,1.743
2021-08-19 06:00:00,3.821,4.215,0.753,0.884
2021-08-20 06:00:00,3.828,4.216,0.755,1.498
2021-08-21 06:00:00,3.834,4.218,0.757,3.524
2021-08-22 06:00:00,3.841,4.219,0.759,2.93
2021-08-23 06:00:00,3.847,4.221,0.762,2.804
2021-08-24 06:00:00,3.854,4.222,0.764,2.034
2021-08-25 06:00:00,3.861,4.224,0.766,2.624
2021-08-26 06:00:00,3.867,4.225,0.769,1.162
2021-08-27 06:00:00,3.874,4.227,0.771,2.674
2021-08-28 06:00:00,3.88,4.229,0.774,2.024
2021-08-29 06:00:00,3.887,4.231,0.776,3.39
2021-08-30 06:00:00,3.893,4.233,0.778,0.863
2021-08-31 06:00:00,3.899,4.235,0.781,1.256
2021-06-01 12:00:00,3.802,4.222,0.786,2.203
2021-06-02 12:00:00,3.8,4.219,0.787,0.0
2021-06-03 12:00:00,3.799,4.216,0.788,2.075
2021-06-04 12:00:00,3.798,4.214,0.789,3.012
2021-06-05 12:00:00,3.797,4.211,0.791,2.11
2021-06-06 12:00:00,3.796,4.209,0.792,2.488
2021-06-07 12:00:00,3.796,4.206,0.793,1.802
2021-06-08 12:00:00,3.795,4.204,0.795,1.78
2021-06-09 12:00:00,3.795,4.202,0.796,1.13
2021-06-10 12:00:00,3.795,4.2,0.798,1.954
2021-06-11 12:00:00,3.796,4.198,0.799,2.553
2021-06-12 12:00:00,3.797,4.197,0.801,0.0
2021-06-13 12:00:00,3.797,4.195,0.802,0.847
2021-06-14 12:00:00,3.798,4.193,0.804,1.896
2021-06-15 12:00:00,3.8,4.192,0.805,2.594
2021-06-16 12:00:00,3.802,4.196,0.805,3.183
2021-06-17 12:00:00,3.805,4.2,0.805,2.161
2021-06-18 12:00:00,3.808,4.204,0.805,2.741
2021-06-19 12:00:00,3.812,4.208,0.805,2.963
2021-06-20 12:00:00,3.815,4.212,0.805,1.763
2021-06-21 12:00:00,3.819,4.216,0.804,2.272
2021-06-22 12:00:00,3.822,4.22,0.804,1.13
2021-06-23 12:00:00,3.826,4.225,0.804,3.265
2021-06-24 12:00:00,3.83,4.229,0.804,2.065
2021-06-25 12:00:00,3.834,4.233,0.804,2.863
2021-06-26 12:00:00,3.839,4.238,0.804,2.472
2021-06-27 12:00:00,3.843,4.242,0.804,2.731
2021-06-28 12:00:00,3.848,4.247,0.804,3.017
2021-06-29 12:00:00,3.852,4.251,0.804,3.136
2021-06-30 12:00:00,3.857,4.256,0.805,2.663
2021-07-01 12:00:00,3.862,4.26,0.805,2.635
2021-07-02 12:00:00,3.867,4.265,0.805,3.406
2021-07-03 12:00:00,3.872,4.269,0.805,2.365
2021-07-04 12:00:00,3.877,4.274,0.805,2.409
2021-07-05 12:00:00,3.883,4.278,0.805,2.618
2021-07-06 12:00:00,3.888,4.283,0.805,2.78
2021-07-07 12:00:00,3.893,4.287,0.805,3.041
2021-07-08 12:00:00,3.899,4.292,0.805,2.922
2021-07-09 12:00:00,3.904,4.296,0.805,2.197
2021-07-10 12:00:00,3.91,4.3,0.805,1.92
2021-07-11 12:00:00,3.915,4.305,0.805,2.848
2021-07-12 12:00:00,3.921,4.309,0.806,2.582
2021-07-13 12:00:00,3.926,4.313,0.806,2.342
2021-07-14 12:00:00,3.931,4.317,0.806,3.11
2021-07-15 12:00:00,3.937,4.321,0.806,3.118
2021-07-16 12:00:00,3.942,4.326,0.806,3.088
2021-07-17 12:00:00,3.948,4.331,0.805,3.254
2021-07-18 12:00:00,3.953,4.335,0.805,3.104
2021-07-19 12:00:00,3.959,4.34,0.805,2.845
2021-07-20 12:00:00,3.964,4.344,0.804,2.515
2021-07-21 12:00:00,3.969,4.349,0.804,2.971
2021-07-22 12:00:00,3.975,4.353,0.804,2.195
2021-07-23 12:00:00,3.98,4.357,0.803,2.891
2021-07-24 12:00:00,3.985,4.362,0.803,1.439
2021-07-25 12:00:00,3.989,4.366,0.802,1.881
2021-07-26 12:00:00,3.994,4.37,0.802,3.035
2021-07-27 12:00:00,3.999,4.373,0.802,1.419
2021-07-28 12:00:00,4.003,4.377,0.801,2.896
2021-07-29 12:00:00,4.008,4.381,0.801,2.446
2021-07-30 12:00:00,4.012,4.384,0.8,3.01
2021-07-31 12:00:00,4.016,4.388,0.799,3.081
2021-08-01 12:00:00,4.02,4.391,0.799,2.801
2021-08-02 12:00:00,4.023,4.394,0.798,2.743
2021-08-03 12:00:00,4.027,4.397,0.798,2.363
2021-08-04 12:00:00,4.03,4.4,0.797,3.179
2021-08-05 12:00:00,4.034,4.403,0.796,3.332
2021-08-06 12:00:00,4.036,4.405,0.795,2.676
2021-08-07 12:00:00,4.039,4.408,0.795,3.157
2021-08-08 12:00:00,4.042,4.41,0.794,3.162
2021-08-09 12:00:00,4.044,4.412,0.793,2.936
2021-08-10 12:00:00,4.046,4.414,0.792,2.005
2021-08-11 12:00:00,4.048,4.416,0.791,2.856
2021-08-12 12:00:00,4.05,4.417,0.79,1.986
2021-08-13 12:00:00,4.051,4.419,0.789,2.931
2021-08-14 12:00:00,4.052,4.42,0.788,1.864
2021-08-15 12:00:00,4.053,4.421,0.787,2.564
2021-08-16 12:00:00,4.053,4.419,0.787,2.202
2021-08-17 12:00:00,4.052,4.414,0.788,3.493
2021-08-18 12:00:00,4.05,4.408,0.789,3.179
2021-08-19 12:00:00,4.048,4.403,0.79,2.183
2021-08-20 12:00:00,4.046,4.397,0.791,1.989
2021-08-21 12:00:00,4.044,4.391,0.792,2.004
2021-08-22 12:00:00,4.041,4.385,0.793,2.993
2021-08-23 12:00:00,4.039,4.378,0.794,1.653
2021-08-24 12:00:00,4.035,4.372,0.795,2.05
2021-08-25 12:00:00,4.032,4.365,0.795,0.811
2021-08-26 12:00:00,4.028,4.358,0.796,2.642
2021-08-27 12:00:00,4.025,4.351,0.797,2.492
2021-08-28 12:00:00,4.02,4.344,0.797,1.992
2021-08-29 12:00:00,4.016,4.337,0.798,2.098
2021-08-30 12:00:00,4.011,4.33,0.798,1.809
2021-08-31 12:00:00,4.006,4.322,0.799,1.285
