Data,Voc_cell1_CT,Isc_cell1_CT,Voc_cell2_2P,Isc_cell2_2P,Voc_cell3_4P,Isc_cell3_4P,Voc_cell4_Fix,Isc_cell4_Fix,Pot_Cell1_CT,Pot_Cell3_4P,Pot_Cell2_2P,Pot_Cell4_Fix,Energy_Cell1_CT,Energy_Cell2_2P,Energy_Cell3_4P,Energy_cell4_Fix,Gain_Cell1_CT,Gain_Cell2_2P,Gain_Cell3_4P
2021-06-09,713.236,887.348,688.546,878.931,685.621,743.059,699.049,974.979,998.210,954.467,805.061,1075.396,16.640,13.420,15.910,17.920,-7.000,-25.000,-11.000
2021-06-10,709.731,1384.009,683.693,1364.061,684.325,1376.902,696.692,1605.989,1548.639,1470.231,1492.869,1763.672,25.810,24.880,24.500,29.390,-12.000,-15.000,-17.000
2021-06-15,441.489,1103.364,425.161,1091.531,429.310,1039.063,430.840,927.494,1247.191,1188.448,1146.839,1025.227,20.790,19.110,19.810,17.090,22.000,12.000,16.000
2021-06-16,571.650,1768.638,590.850,1757.525,576.002,1466.358,581.669,1447.423,1913.584,1964.920,1601.298,1601.265,31.890,26.690,32.750,26.690,19.000,0.000,23.000
2021-06-17,642.091,1569.577,663.999,1560.953,647.131,1234.225,655.821,1275.888,1693.499,1743.143,1345.076,1412.998,28.220,22.420,29.050,23.550,20.000,-5.000,23.000
2021-06-18,623.562,2078.927,628.423,2102.472,624.904,1844.411,634.220,1639.150,2217.536,2263.647,1979.712,1791.999,36.960,33.000,37.730,29.870,24.000,10.000,26.000
2021-06-21,606.971,1585.219,611.802,1543.508,607.981,1434.665,617.751,1322.358,1706.939,1677.704,1555.221,1458.633,28.450,25.920,27.960,24.310,17.000,7.000,15.000
2021-06-22,253.317,173.404,254.878,196.950,250.484,170.103,255.635,189.093,188.997,216.355,185.299,208.637,3.150,3.090,3.610,3.480,-9.000,-11.000,4.000
2021-06-23,584.230,1561.489,587.945,1553.235,582.770,1398.348,594.530,1430.737,1673.649,1680.243,1505.579,1569.741,27.890,25.090,28.000,26.160,7.000,-4.000,7.000
2021-06-24,597.244,1345.666,588.295,1281.385,594.628,1007.820,595.657,990.188,1464.576,1369.377,1089.720,1076.462,24.410,18.160,22.820,17.940,36.000,1.000,27.000
2021-06-25,627.525,1513.342,619.979,1443.852,625.364,1384.391,627.011,1140.640,1633.204,1529.268,1482.686,1235.797,27.220,24.710,25.490,20.600,32.000,20.000,24.000
2021-06-28,685.080,1465.414,677.622,1408.549,685.462,1269.706,683.784,1235.726,1590.488,1500.011,1373.422,1339.582,26.510,22.890,25.000,22.330,19.000,3.000,12.000
